ProcessorEntity(model=Xeon Gold 6142, core=16, flow=32, baseFrequency=2.6, unitOfClockFrequency=GHz, maxBoostFrequency=3.7, unitOfMaxBoostFrequency=GHz, cache=22.0, unitOfCache=MB, tdp=150, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2666, memoryCount=6, cpuScale=4S)
ProcessorEntity(model=Xeon Gold 6142F, core=16, flow=32, baseFrequency=2.6, unitOfClockFrequency=GHz, maxBoostFrequency=3.7, unitOfMaxBoostFrequency=GHz, cache=22.0, unitOfCache=MB, tdp=160, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2666, memoryCount=6, cpuScale=4S)
ProcessorEntity(model=Xeon Gold 6142M, core=16, flow=32, baseFrequency=2.6, unitOfClockFrequency=GHz, maxBoostFrequency=3.7, unitOfMaxBoostFrequency=GHz, cache=22.0, unitOfCache=MB, tdp=150, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2666, memoryCount=6, cpuScale=4S)
ProcessorEntity(model=Xeon Gold 6143, core=16, flow=32, baseFrequency=2.8, unitOfClockFrequency=GHz, maxBoostFrequency=3.7, unitOfMaxBoostFrequency=GHz, cache=22.0, unitOfCache=MB, tdp=165, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2666, memoryCount=6, cpuScale=4S)
ProcessorEntity(model=Xeon Gold 6149, core=16, flow=32, baseFrequency=3.1, unitOfClockFrequency=GHz, maxBoostFrequency=3.4, unitOfMaxBoostFrequency=GHz, cache=22.0, unitOfCache=MB, tdp=205, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2666, memoryCount=6, cpuScale=4S)
ProcessorEntity(model=Xeon Gold 5220S, core=18, flow=36, baseFrequency=2.7, unitOfClockFrequency=GHz, maxBoostFrequency=3.9, unitOfMaxBoostFrequency=GHz, cache=24.75, unitOfCache=MB, tdp=125, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2666, memoryCount=6, cpuScale=4S)
ProcessorEntity(model=Xeon Gold 6136, core=12, flow=24, baseFrequency=3.0, unitOfClockFrequency=GHz, maxBoostFrequency=3.7, unitOfMaxBoostFrequency=GHz, cache=24.75, unitOfCache=MB, tdp=150, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2666, memoryCount=6, cpuScale=4S)
ProcessorEntity(model=Xeon Gold 6146, core=12, flow=24, baseFrequency=3.2, unitOfClockFrequency=GHz, maxBoostFrequency=4.2, unitOfMaxBoostFrequency=GHz, cache=24.75, unitOfCache=MB, tdp=165, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2666, memoryCount=6, cpuScale=4S)
ProcessorEntity(model=Xeon Gold 6150, core=18, flow=36, baseFrequency=2.7, unitOfClockFrequency=GHz, maxBoostFrequency=3.7, unitOfMaxBoostFrequency=GHz, cache=24.75, unitOfCache=MB, tdp=165, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2666, memoryCount=6, cpuScale=4S)
ProcessorEntity(model=Xeon Gold 6151, core=18, flow=36, baseFrequency=3.0, unitOfClockFrequency=GHz, maxBoostFrequency=3.7, unitOfMaxBoostFrequency=GHz, cache=24.75, unitOfCache=MB, tdp=205, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2666, memoryCount=6, cpuScale=4S)
ProcessorEntity(model=Xeon Gold 6154, core=18, flow=36, baseFrequency=3.0, unitOfClockFrequency=GHz, maxBoostFrequency=3.7, unitOfMaxBoostFrequency=GHz, cache=24.75, unitOfCache=MB, tdp=200, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2666, memoryCount=6, cpuScale=4S)
ProcessorEntity(model=Xeon Gold 6248, core=20, flow=40, baseFrequency=2.5, unitOfClockFrequency=GHz, maxBoostFrequency=3.9, unitOfMaxBoostFrequency=GHz, cache=27.5, unitOfCache=MB, tdp=150, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2933, memoryCount=6, cpuScale=4S)
ProcessorEntity(model=Xeon Gold 6242R, core=20, flow=40, baseFrequency=3.1, unitOfClockFrequency=GHz, maxBoostFrequency=4.1, unitOfMaxBoostFrequency=GHz, cache=35.75, unitOfCache=MB, tdp=205, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2933, memoryCount=6, cpuScale=2S)
ProcessorEntity(model=Xeon Gold 6133, core=20, flow=40, baseFrequency=2.5, unitOfClockFrequency=GHz, maxBoostFrequency=3.0, unitOfMaxBoostFrequency=GHz, cache=27.5, unitOfCache=MB, tdp=150, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2666, memoryCount=6, cpuScale=4S)
ProcessorEntity(model=Xeon Platinum 8124M, core=18, flow=36, baseFrequency=3.0, unitOfClockFrequency=GHz, maxBoostFrequency=3.5, unitOfMaxBoostFrequency=GHz, cache=24.75, unitOfCache=MB, tdp=240, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2666, memoryCount=6, cpuScale=8S)
ProcessorEntity(model=Xeon Platinum 8151, core=12, flow=24, baseFrequency=3.4, unitOfClockFrequency=GHz, maxBoostFrequency=4.0, unitOfMaxBoostFrequency=GHz, cache=24.75, unitOfCache=MB, tdp=240, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2666, memoryCount=6, cpuScale=8S)
ProcessorEntity(model=Xeon Platinum 8158, core=12, flow=24, baseFrequency=3.0, unitOfClockFrequency=GHz, maxBoostFrequency=3.7, unitOfMaxBoostFrequency=GHz, cache=24.75, unitOfCache=MB, tdp=150, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2666, memoryCount=6, cpuScale=8S)
ProcessorEntity(model=Xeon Platinum P-8124, core=18, flow=36, baseFrequency=3.0, unitOfClockFrequency=GHz, maxBoostFrequency=3.5, unitOfMaxBoostFrequency=GHz, cache=24.75, unitOfCache=MB, tdp=240, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2666, memoryCount=6, cpuScale=8S)
ProcessorEntity(model=Xeon Gold 6147M, core=20, flow=40, baseFrequency=2.5, unitOfClockFrequency=GHz, maxBoostFrequency=3.0, unitOfMaxBoostFrequency=GHz, cache=27.5, unitOfCache=MB, tdp=150, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2666, memoryCount=6, cpuScale=4S)
ProcessorEntity(model=Xeon Gold 6148, core=20, flow=40, baseFrequency=2.4, unitOfClockFrequency=GHz, maxBoostFrequency=3.7, unitOfMaxBoostFrequency=GHz, cache=27.5, unitOfCache=MB, tdp=150, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2666, memoryCount=6, cpuScale=4S)
ProcessorEntity(model=Xeon Gold 6233, core=24, flow=48, baseFrequency=2.5, unitOfClockFrequency=GHz, maxBoostFrequency=3.9, unitOfMaxBoostFrequency=GHz, cache=33.0, unitOfCache=MB, tdp=165, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2933, memoryCount=6, cpuScale=4S)
ProcessorEntity(model=Xeon Gold 6263CY, core=24, flow=48, baseFrequency=2.6, unitOfClockFrequency=GHz, maxBoostFrequency=4.0, unitOfMaxBoostFrequency=GHz, cache=33.0, unitOfCache=MB, tdp=205, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2933, memoryCount=6, cpuScale=4S)
ProcessorEntity(model=Xeon Gold 6267, core=24, flow=48, baseFrequency=2.6, unitOfClockFrequency=GHz, maxBoostFrequency=3.4, unitOfMaxBoostFrequency=GHz, cache=33.0, unitOfCache=MB, tdp=165, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2933, memoryCount=6, cpuScale=4S)
ProcessorEntity(model=Xeon Gold 6267C, core=24, flow=48, baseFrequency=2.6, unitOfClockFrequency=GHz, maxBoostFrequency=3.4, unitOfMaxBoostFrequency=GHz, cache=33.0, unitOfCache=MB, tdp=165, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2933, memoryCount=6, cpuScale=4S)
ProcessorEntity(model=Xeon Gold 6148F, core=20, flow=40, baseFrequency=2.4, unitOfClockFrequency=GHz, maxBoostFrequency=3.7, unitOfMaxBoostFrequency=GHz, cache=27.5, unitOfCache=MB, tdp=150, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2666, memoryCount=6, cpuScale=4S)
ProcessorEntity(model=Xeon Gold 6155, core=20, flow=40, baseFrequency=3.0, unitOfClockFrequency=GHz, maxBoostFrequency=3.5, unitOfMaxBoostFrequency=GHz, cache=27.5, unitOfCache=MB, tdp=200, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2666, memoryCount=6, cpuScale=4S)
ProcessorEntity(model=Xeon Gold 6261, core=22, flow=44, baseFrequency=3.0, unitOfClockFrequency=GHz, maxBoostFrequency=3.4, unitOfMaxBoostFrequency=GHz, cache=30.25, unitOfCache=MB, tdp=205, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2933, memoryCount=6, cpuScale=4S)
ProcessorEntity(model=Xeon Gold 6266C, core=22, flow=44, baseFrequency=3.0, unitOfClockFrequency=GHz, maxBoostFrequency=3.4, unitOfMaxBoostFrequency=GHz, cache=30.25, unitOfCache=MB, tdp=205, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2933, memoryCount=6, cpuScale=4S)
ProcessorEntity(model=Xeon Gold 6290, core=22, flow=44, baseFrequency=3.2, unitOfClockFrequency=GHz, maxBoostFrequency=3.9, unitOfMaxBoostFrequency=GHz, cache=30.25, unitOfCache=MB, tdp=240, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2933, memoryCount=6, cpuScale=4S)
ProcessorEntity(model=Xeon Gold 6268CL, core=24, flow=48, baseFrequency=2.8, unitOfClockFrequency=GHz, maxBoostFrequency=3.9, unitOfMaxBoostFrequency=GHz, cache=33.0, unitOfCache=MB, tdp=205, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2933, memoryCount=6, cpuScale=4S)
ProcessorEntity(model=Xeon Gold 6271C, core=24, flow=48, baseFrequency=2.6, unitOfClockFrequency=GHz, maxBoostFrequency=3.9, unitOfMaxBoostFrequency=GHz, cache=33.0, unitOfCache=MB, tdp=165, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2933, memoryCount=6, cpuScale=4S)
ProcessorEntity(model=Xeon Gold 6240R, core=24, flow=48, baseFrequency=2.4, unitOfClockFrequency=GHz, maxBoostFrequency=4.0, unitOfMaxBoostFrequency=GHz, cache=35.75, unitOfCache=MB, tdp=165, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2933, memoryCount=6, cpuScale=2S)
